date,variable,actual,simulated
2015-12-01,Yhdi,277483,265466.8967673805
2016-03-01,Yhdi,279003,266654.8586622221
2016-06-01,Yhdi,282305,269316.29420733976
2016-09-01,Yhdi,284637,272651.14167414873
2016-12-01,Yhdi,286092,274352.2125755595
2017-03-01,Yhdi,288728,276339.6671241348
2017-06-01,Yhdi,289891,277722.35826950026
2017-09-01,Yhdi,291659,281390.9381059794
2017-12-01,Yhdi,297297,283465.33515242743
2018-03-01,Yhdi,299877,286668.6291166455
2018-06-01,Yhdi,302630,289477.96891413286
2018-09-01,Yhdi,305591,294558.26843347534
2018-12-01,Yhdi,309764,297268.5394509285
2019-03-01,Yhdi,311947,299862.1621372127
2019-06-01,Yhdi,312122,302958.9917973888
2019-09-01,Yhdi,320358,307861.26411003247
2019-12-01,Yhdi,320197,310472.19562618015
2020-03-01,Yhdi,325356,312461.5641862008
